Date,Price,Open,High,Low,Vol.,Change %
11/27/2024,189.09,190.0,190.55,184.0,7.51M,4.90%
11/26/2024,180.25,192.0,192.0,177.75,8.46M,-6.65%
11/25/2024,193.09,194.01,195.5,192.0,4.09M,-0.92%
11/22/2024,194.88,198.96,203.25,193.6,8.79M,-1.92%
11/21/2024,198.7,194.99,201.5,193.7,9.21M,1.95%
11/20/2024,194.9,195.98,198.8,193.0,6.02M,-0.13%
11/19/2024,195.15,194.5,196.5,194.1,2.65M,0.46%
11/18/2024,194.25,194.0,195.9,191.45,3.20M,0.22%
11/15/2024,193.83,194.7,198.0,193.3,6.61M,-0.35%
11/14/2024,194.52,191.0,196.61,191.0,8.13M,2.38%
11/13/2024,190.0,194.69,195.89,188.96,6.48M,-2.30%
11/12/2024,194.48,199.5,199.5,193.2,6.02M,-2.27%
11/11/2024,199.0,191.8,199.5,191.8,10.98M,3.54%
11/08/2024,192.2,183.05,193.5,181.5,10.75M,5.03%
11/07/2024,183.0,178.52,184.1,178.52,7.98M,2.23%
11/06/2024,179.0,182.1,182.5,177.9,8.02M,-2.05%
11/05/2024,182.75,180.45,185.8,180.15,10.14M,0.71%
11/04/2024,181.47,181.49,182.5,176.51,9.47M,0.70%
11/01/2024,180.2,171.99,181.0,170.11,14.11M,4.62%
10/31/2024,172.25,174.05,175.0,170.53,4.57M,-1.23%
10/30/2024,174.4,176.28,181.15,172.5,9.31M,-0.85%
10/29/2024,175.9,175.0,176.0,172.89,4.84M,0.98%
10/28/2024,174.2,176.5,180.1,174.0,7.32M,-1.58%
10/25/2024,177.0,177.1,182.8,173.0,22.42M,0.43%
10/24/2024,176.25,169.48,177.75,169.2,10.91M,4.30%
10/23/2024,168.99,167.4,169.8,166.06,4.64M,1.19%
10/22/2024,167.0,166.5,169.42,166.5,3.32M,0.24%
10/21/2024,166.6,165.5,167.55,165.5,2.24M,1.09%
10/18/2024,164.8,168.54,168.54,164.5,2.32M,-1.82%
10/17/2024,167.85,170.0,171.25,167.51,2.50M,-1.09%
10/16/2024,169.7,167.0,170.85,167.0,6.09M,-0.06%
10/15/2024,169.8,167.0,171.25,164.0,4.93M,1.68%
10/14/2024,167.0,169.99,170.0,166.8,3.00M,-1.47%
10/11/2024,169.5,171.0,175.1,168.21,5.64M,-0.99%
10/10/2024,171.2,169.5,173.25,168.0,8.15M,1.09%
10/09/2024,169.35,172.0,174.54,168.95,7.20M,-1.37%
10/08/2024,171.7,169.1,174.54,168.5,16.68M,1.48%
10/07/2024,169.19,154.99,169.8,154.6,20.72M,9.52%
10/04/2024,154.49,150.0,155.8,149.02,11.58M,2.99%
10/03/2024,150.0,148.45,150.0,147.9,5.35M,1.35%
10/02/2024,148.0,145.2,148.45,144.71,5.43M,1.58%
10/01/2024,145.7,143.8,146.75,142.71,5.72M,1.25%
09/30/2024,143.9,144.46,144.6,142.5,2.60M,-0.07%
09/27/2024,144.0,143.75,144.59,142.8,3.49M,0.70%
