Date,Price,Open,High,Low,Vol.,Change %
04/24/2024,66.31,65.9,66.45,65.4,1.87M,0.78%
04/23/2024,65.8,66.71,67.5,65.4,1.56M,-1.78%
04/22/2024,66.99,66.82,67.5,66.5,2.83M,0.31%
04/19/2024,66.78,66.49,66.9,65.54,1.65M,0.50%
04/18/2024,66.45,65.9,66.82,65.55,1.15M,1.17%
04/17/2024,65.68,66.54,67.0,65.5,1.10M,-1.31%
04/16/2024,66.55,65.8,68.35,65.5,5.19M,2.15%
04/15/2024,65.15,64.99,65.39,63.9,1.10M,0.54%
04/09/2024,64.8,64.01,66.33,63.87,2.95M,1.33%
04/08/2024,63.95,62.4,64.45,62.11,1.18M,3.15%
04/04/2024,62.0,62.01,62.6,61.51,531.00K,0.83%
04/03/2024,61.49,61.4,61.78,60.6,442.86K,0.82%
04/02/2024,60.99,62.0,62.0,60.75,610.79K,-0.91%
04/01/2024,61.55,62.96,63.23,61.51,382.41K,-1.76%
03/29/2024,62.65,63.5,63.88,62.11,493.66K,-0.89%
03/28/2024,63.21,62.9,64.35,62.79,1.64M,0.73%
03/27/2024,62.75,61.01,63.0,61.01,964.85K,2.62%
03/26/2024,61.15,62.0,62.0,61.05,298.54K,-1.21%
03/25/2024,61.9,62.0,62.24,61.6,587.16K,1.64%
03/22/2024,60.9,61.99,62.45,60.8,704.79K,-1.14%
03/21/2024,61.6,63.0,63.73,61.5,1.28M,-2.07%
03/20/2024,62.9,63.95,64.1,62.65,691.35K,-0.79%
03/19/2024,63.4,63.67,64.2,62.9,511.49K,-0.33%
03/18/2024,63.61,63.39,64.4,63.02,452.18K,0.95%
03/15/2024,63.01,64.45,64.5,63.01,429.26K,-1.93%
03/14/2024,64.25,62.88,64.5,62.5,746.89K,1.47%
03/13/2024,63.32,63.99,64.5,61.63,1.17M,-0.60%
03/12/2024,63.7,65.98,65.98,63.6,815.85K,-3.12%
03/11/2024,65.75,65.65,66.36,65.25,979.43K,0.37%
03/08/2024,65.51,66.4,66.45,65.1,814.73K,0.02%
03/07/2024,65.5,65.6,66.0,64.8,739.42K,-0.17%
03/06/2024,65.61,67.16,67.88,65.5,4.40M,-1.78%
03/05/2024,66.8,69.0,69.0,64.65,3.54M,-2.77%
03/04/2024,68.7,68.0,69.0,67.12,2.57M,1.48%
03/01/2024,67.7,68.3,68.8,66.58,1.72M,-0.82%
02/29/2024,68.26,68.16,69.1,67.7,2.61M,0.01%
02/28/2024,68.25,66.9,68.5,66.9,2.84M,2.02%
02/27/2024,66.9,67.25,68.1,66.51,2.28M,0.15%
02/26/2024,66.8,67.0,68.0,66.4,3.47M,0.51%
02/23/2024,66.46,65.0,66.5,65.0,1.89M,1.95%
02/22/2024,65.19,64.99,65.7,64.51,1.16M,0.31%
02/21/2024,64.99,64.9,65.0,63.4,2.14M,3.32%
02/20/2024,62.9,63.4,64.7,62.6,2.44M,-0.79%
02/19/2024,63.4,60.5,63.79,58.6,2.83M,3.93%
02/16/2024,61.0,63.0,63.95,60.13,2.30M,-3.94%
02/15/2024,63.5,66.49,67.75,62.16,6.44M,-2.59%
02/14/2024,65.19,61.33,65.19,61.33,3.47M,7.72%
02/13/2024,60.52,60.15,62.31,57.53,7.75M,-2.54%
02/12/2024,62.1,66.0,66.9,61.15,4.83M,-6.35%
02/09/2024,66.31,67.01,67.91,64.33,4.58M,-5.24%
02/07/2024,69.98,69.0,69.98,68.55,1.62M,1.88%
02/06/2024,68.69,66.0,69.5,66.0,4.11M,4.85%
02/02/2024,65.51,65.89,66.42,65.4,1.42M,-0.44%
02/01/2024,65.8,65.38,66.45,64.25,2.34M,1.39%
01/31/2024,64.9,65.99,67.25,64.82,4.09M,-0.81%
01/30/2024,65.43,67.6,68.97,64.11,6.36M,-3.92%
01/29/2024,68.1,70.5,70.5,67.38,1.79M,-3.40%
