Date,Price,Open,High,Low,Vol.,Change %
10/22/2024,8.23,8.44,8.64,8.15,21.75M,-0.12%
10/21/2024,8.24,7.45,8.24,7.45,59.10M,12.88%
10/18/2024,7.3,7.3,7.65,7.18,14.11M,0.14%
10/17/2024,7.29,7.32,7.54,7.26,4.72M,-1.49%
10/16/2024,7.4,7.6,7.79,7.26,14.33M,-0.67%
10/15/2024,7.45,7.04,7.78,6.72,22.46M,9.72%
10/14/2024,6.79,7.07,7.1,6.76,9.80M,-3.55%
10/11/2024,7.04,8.0,8.0,7.02,25.96M,-12.55%
10/10/2024,8.05,8.25,8.34,7.9,15.29M,-5.74%
10/09/2024,8.54,8.41,8.82,8.4,23.02M,2.28%
10/08/2024,8.35,8.48,8.6,8.25,8.85M,0.00%
10/07/2024,8.35,8.13,8.7,8.05,21.96M,3.09%
10/04/2024,8.1,8.11,8.46,8.06,19.50M,0.12%
10/03/2024,8.09,8.2,8.47,7.95,9.25M,-3.58%
10/02/2024,8.39,8.53,8.7,8.21,10.79M,-2.21%
10/01/2024,8.58,8.19,8.7,8.19,15.72M,6.45%
09/30/2024,8.06,8.56,8.63,7.88,7.75M,-4.62%
09/27/2024,8.45,8.3,8.54,8.01,13.43M,0.72%
09/26/2024,8.39,9.09,9.18,8.2,25.82M,-5.30%
09/25/2024,8.86,8.22,9.04,8.16,51.89M,9.38%
09/24/2024,8.1,7.99,8.14,7.76,7.42M,2.66%
09/23/2024,7.89,7.82,8.25,7.7,13.98M,1.81%
09/20/2024,7.75,8.01,8.25,7.62,16.00M,-2.76%
09/19/2024,7.97,8.8,8.91,7.88,35.18M,-10.25%
09/18/2024,8.88,8.93,9.16,8.75,10.70M,-0.11%
09/16/2024,8.89,8.6,9.11,8.5,31.48M,3.98%
09/13/2024,8.55,8.87,9.43,8.21,63.75M,-1.95%
09/12/2024,8.72,9.8,10.12,8.72,60.75M,-10.10%
09/11/2024,9.7,10.08,10.37,9.5,32.25M,-2.90%
09/10/2024,9.99,9.6,10.45,9.18,57.12M,3.74%
09/09/2024,9.63,9.2,10.03,8.9,42.93M,4.00%
09/06/2024,9.26,10.02,10.73,9.26,44.99M,-9.83%
09/05/2024,10.27,11.4,11.55,10.27,42.14M,-9.75%
09/04/2024,11.38,11.15,11.91,10.95,45.08M,5.37%
09/03/2024,10.8,9.59,11.5,9.59,83.94M,1.31%
09/02/2024,10.66,10.66,10.66,10.66,2.34M,-9.58%
08/30/2024,11.79,11.76,12.47,11.41,44.64M,2.17%
08/29/2024,11.54,11.6,12.08,11.25,41.14M,1.67%
08/28/2024,11.35,12.02,12.73,11.02,124.74M,-1.90%
08/27/2024,11.57,10.56,11.57,10.56,74.33M,8.84%
08/26/2024,10.63,11.01,11.05,10.01,50.62M,-2.12%
08/23/2024,10.86,11.3,11.7,10.79,81.71M,-6.54%
08/22/2024,11.62,11.78,12.3,11.15,91.36M,3.47%
08/21/2024,11.23,10.39,11.23,10.39,62.92M,9.99%
08/20/2024,10.21,9.25,10.27,8.83,101.86M,10.38%
08/19/2024,9.25,10.31,10.95,9.25,134.86M,-10.37%
08/16/2024,10.32,9.4,10.32,9.28,109.50M,10.73%
08/15/2024,9.32,8.5,9.32,7.91,91.02M,12.15%
08/13/2024,8.31,8.64,8.64,7.69,131.92M,8.77%
08/12/2024,7.64,7.53,7.64,7.3,13.35M,12.02%
08/09/2024,6.82,5.89,6.82,5.75,64.78M,17.38%
08/08/2024,5.81,5.78,6.35,5.6,93.86M,0.87%
08/07/2024,5.76,6.05,6.2,5.54,70.04M,-5.42%
08/06/2024,6.09,5.85,6.4,5.59,147.51M,12.57%
08/05/2024,5.41,4.53,5.41,4.5,86.05M,21.30%
08/02/2024,4.46,4.11,4.5,4.1,15.80M,8.52%
08/01/2024,4.11,4.14,4.14,3.99,8.85M,1.23%
07/31/2024,4.06,3.82,4.37,3.81,24.70M,7.12%
07/30/2024,3.79,3.91,4.0,3.78,3.35M,-2.82%
07/29/2024,3.9,3.75,3.98,3.67,9.30M,8.64%
07/26/2024,3.59,3.67,3.89,3.55,5.79M,-4.52%
07/25/2024,3.76,3.92,3.99,3.71,7.42M,-4.81%
07/24/2024,3.95,3.81,4.04,3.8,4.64M,2.60%
07/23/2024,3.85,4.0,4.0,3.8,1.83M,2.67%
07/22/2024,3.75,3.95,4.01,3.74,2.51M,-3.85%
07/19/2024,3.9,4.05,4.05,3.9,2.87M,-3.94%
07/18/2024,4.06,4.05,4.14,4.01,2.61M,-0.49%
07/15/2024,4.08,4.02,4.18,4.02,1.17M,-0.24%
07/12/2024,4.09,4.15,4.16,3.9,3.34M,-0.97%
07/11/2024,4.13,4.22,4.27,4.11,2.14M,-0.24%
07/10/2024,4.14,4.29,4.36,4.14,1.65M,-3.94%
07/09/2024,4.31,4.19,4.38,4.19,7.16M,2.38%
07/08/2024,4.21,4.13,4.28,4.09,1.54M,2.18%
07/05/2024,4.12,4.24,4.24,4.11,1.21M,-0.48%
07/04/2024,4.14,4.24,4.25,4.11,1.15M,-0.96%
07/03/2024,4.18,4.27,4.3,4.13,2.49M,-1.65%
07/02/2024,4.25,4.08,4.33,4.03,5.12M,3.41%
07/01/2024,4.11,4.12,4.21,4.1,2.41M,0.24%
06/28/2024,4.1,4.11,4.16,4.04,4.47M,-0.49%
06/27/2024,4.12,4.2,4.22,4.07,2.61M,-1.44%
06/26/2024,4.18,4.25,4.29,4.02,4.62M,-1.65%
06/25/2024,4.25,4.4,4.43,4.21,4.00M,-2.07%
06/24/2024,4.34,4.17,4.45,4.11,12.62M,6.11%
06/21/2024,4.09,4.15,4.21,3.99,3.51M,-2.39%
06/20/2024,4.19,4.2,4.29,4.12,3.04M,1.70%
06/14/2024,4.12,4.29,4.29,4.02,5.32M,-3.29%
06/13/2024,4.26,4.02,4.38,3.97,7.54M,6.50%
06/12/2024,4.0,3.99,4.16,3.96,7.99M,0.25%
06/11/2024,3.99,4.3,4.34,3.94,16.78M,-5.90%
06/10/2024,4.24,4.38,4.47,4.2,3.20M,-2.53%
06/07/2024,4.35,4.6,4.6,4.27,10.27M,-1.58%
06/06/2024,4.42,4.35,4.59,4.25,14.86M,4.49%
06/05/2024,4.23,4.35,4.41,4.21,6.54M,-2.76%
06/04/2024,4.35,4.5,4.55,4.3,3.36M,-3.33%
06/03/2024,4.5,4.34,4.54,4.32,10.24M,2.27%
05/31/2024,4.4,4.49,4.49,4.3,5.68M,0.00%
05/30/2024,4.4,4.48,4.48,4.33,4.30M,0.92%
05/29/2024,4.36,4.53,4.53,4.34,4.26M,-1.80%
05/27/2024,4.44,4.51,4.6,4.4,6.11M,-2.20%
05/24/2024,4.54,4.65,4.78,4.49,8.77M,-1.94%
05/23/2024,4.63,4.45,4.79,4.4,13.37M,3.58%
05/22/2024,4.47,4.6,4.62,4.41,11.71M,-1.11%
05/21/2024,4.52,4.7,4.72,4.51,9.77M,-3.21%
05/20/2024,4.67,4.9,4.92,4.62,12.38M,-3.31%
05/17/2024,4.83,4.7,5.14,4.68,44.62M,3.65%
05/16/2024,4.66,4.73,4.84,4.59,4.95M,-0.85%
05/15/2024,4.7,4.66,4.87,4.65,11.47M,0.00%
05/14/2024,4.7,4.7,4.87,4.59,10.89M,0.21%
05/13/2024,4.69,4.75,4.9,4.5,12.00M,-0.64%
05/10/2024,4.72,4.37,4.83,4.36,21.77M,6.79%
05/09/2024,4.42,4.37,4.56,4.37,4.08M,0.91%
05/08/2024,4.38,4.52,4.6,4.35,4.62M,-2.67%
05/07/2024,4.5,4.6,4.69,4.48,4.10M,-1.96%
05/06/2024,4.59,4.42,4.65,4.38,11.28M,5.52%
05/03/2024,4.35,4.23,4.5,4.23,6.36M,3.08%
05/02/2024,4.22,4.4,4.41,4.22,3.11M,-4.09%
04/30/2024,4.4,4.71,4.71,4.35,5.14M,-5.38%
04/29/2024,4.65,4.55,4.69,4.45,7.36M,1.97%
04/26/2024,4.56,4.66,4.76,4.49,6.46M,-1.94%
04/25/2024,4.65,4.8,4.9,4.65,9.64M,-2.11%
04/24/2024,4.75,4.66,4.88,4.61,12.50M,3.26%
04/23/2024,4.6,4.79,4.85,4.6,4.67M,-3.97%
04/22/2024,4.79,4.95,4.98,4.77,10.12M,-3.04%
04/19/2024,4.94,4.9,5.11,4.78,22.83M,1.86%
04/18/2024,4.85,5.06,5.15,4.8,16.29M,-3.39%
04/17/2024,5.02,4.94,5.05,4.75,26.48M,3.93%
04/16/2024,4.83,4.35,4.99,4.32,34.40M,11.55%
04/15/2024,4.33,4.3,4.48,4.3,3.61M,-2.26%
04/09/2024,4.43,4.42,4.53,4.37,2.28M,-0.45%
04/08/2024,4.45,4.45,4.57,4.36,2.11M,0.00%
04/04/2024,4.45,4.5,4.65,4.41,2.94M,-0.22%
04/03/2024,4.46,4.33,4.54,4.33,4.54M,1.36%
04/02/2024,4.4,4.36,4.45,4.28,1.65M,0.00%
04/01/2024,4.4,4.37,4.49,4.34,2.36M,-1.12%
03/29/2024,4.45,4.49,4.54,4.3,4.65M,-0.67%
03/28/2024,4.48,4.59,4.63,4.41,5.20M,-0.67%
03/27/2024,4.51,4.52,4.61,4.5,4.34M,-1.53%
03/26/2024,4.58,4.7,4.74,4.5,4.18M,-2.55%
03/25/2024,4.7,4.56,4.8,4.55,6.82M,2.62%
03/22/2024,4.58,4.6,4.66,4.5,2.74M,-1.51%
03/21/2024,4.65,4.96,4.98,4.55,8.96M,-2.92%
03/20/2024,4.79,4.68,5.06,4.67,17.83M,2.79%
03/19/2024,4.66,4.65,4.83,4.6,4.81M,-1.27%
03/18/2024,4.72,4.7,4.85,4.42,8.83M,2.61%
03/15/2024,4.6,4.85,4.88,4.6,7.12M,-4.76%
03/14/2024,4.83,4.38,4.9,4.35,19.58M,12.33%
03/13/2024,4.3,4.8,4.8,4.16,11.15M,-8.51%
03/12/2024,4.7,5.25,5.29,4.68,23.96M,-10.31%
03/11/2024,5.24,5.58,5.7,5.22,27.35M,-4.38%
