Date,Price,Open,High,Low,Vol.,Change %
10/25/2024,205.99,202.7,215.0,199.52,2.71M,0.48%
10/24/2024,205.0,197.35,205.5,196.11,2.52M,3.43%
10/23/2024,198.2,197.0,199.05,197.0,1.06M,0.61%
10/22/2024,197.0,199.0,199.0,196.04,366.24K,-0.41%
10/21/2024,197.81,196.0,198.05,195.0,907.35K,1.12%
10/18/2024,195.61,198.5,199.0,194.95,437.79K,-1.65%
10/17/2024,198.9,198.0,201.58,195.5,1.47M,0.54%
10/16/2024,197.84,196.81,197.9,192.0,3.31M,0.66%
10/15/2024,196.55,188.0,198.0,185.11,9.48M,3.64%
10/14/2024,189.64,198.3,199.9,185.1,1.95M,-4.71%
10/11/2024,199.01,193.9,199.89,193.9,1.14M,2.23%
10/10/2024,194.66,201.0,201.01,194.11,4.43M,-3.68%
10/09/2024,202.1,202.02,205.6,197.01,1.22M,-0.88%
10/08/2024,203.9,197.5,205.6,196.1,3.43M,3.77%
10/07/2024,196.5,194.0,198.4,192.01,2.03M,1.39%
10/04/2024,193.8,191.0,194.4,187.1,1.83M,1.60%
10/03/2024,190.74,187.12,193.7,187.02,2.41M,2.27%
10/02/2024,186.5,189.9,190.11,186.1,936.55K,-1.84%
10/01/2024,190.0,191.45,191.9,189.0,965.91K,-0.51%
09/30/2024,190.97,192.5,192.5,188.01,621.04K,1.10%
09/27/2024,188.9,187.17,191.5,186.0,716.14K,0.64%
09/26/2024,187.7,190.2,190.4,185.0,894.30K,-0.69%
09/25/2024,189.0,187.02,191.9,187.02,2.22M,0.53%
09/24/2024,188.0,190.02,193.49,185.4,3.65M,-1.96%
09/23/2024,191.75,185.7,195.99,182.7,2.91M,3.43%
09/20/2024,185.4,190.0,190.0,182.05,6.93M,-1.70%
09/19/2024,188.6,180.0,190.7,180.0,3.06M,4.20%
09/18/2024,180.99,172.6,180.99,172.6,5.91M,4.62%
09/16/2024,173.0,172.11,174.5,171.0,485.97K,0.87%
09/13/2024,171.5,168.85,171.99,168.85,4.81M,2.55%
09/12/2024,167.24,167.5,167.65,166.0,814.85K,0.44%
09/11/2024,166.5,170.0,170.4,166.5,1.26M,-2.00%
09/10/2024,169.9,165.0,172.0,165.0,1.57M,2.67%
09/09/2024,165.48,164.84,165.5,164.0,349.41K,0.41%
09/06/2024,164.8,164.79,166.0,164.0,4.49M,0.06%
09/05/2024,164.7,164.5,165.0,162.91,393.44K,0.30%
09/04/2024,164.2,161.48,164.2,160.47,530.58K,1.67%
09/03/2024,161.5,161.1,161.84,160.0,187.70K,-0.31%
09/02/2024,162.0,162.0,162.1,160.35,511.22K,0.62%
08/30/2024,161.0,157.2,162.1,157.2,4.30M,2.54%
08/29/2024,157.01,158.0,159.95,156.79,1.18M,-1.25%
08/28/2024,159.0,159.5,159.5,157.0,703.75K,-0.56%
08/27/2024,159.89,161.7,161.7,157.8,894.42K,-0.99%
08/26/2024,161.49,161.75,162.1,160.5,1.22M,-0.01%
08/23/2024,161.5,162.25,163.46,161.01,409.16K,-0.37%
08/22/2024,162.1,162.0,164.0,161.85,1.50M,0.07%
08/21/2024,161.99,160.11,162.01,160.11,1.01M,1.34%
08/20/2024,159.85,161.0,161.25,159.0,561.94K,-0.40%
08/19/2024,160.5,162.6,162.65,159.4,831.19K,-1.26%
08/16/2024,162.54,164.0,164.0,162.0,596.22K,-0.65%
08/15/2024,163.6,162.0,166.15,161.01,772.17K,0.43%
08/13/2024,162.9,163.5,164.0,161.51,333.73K,-0.34%
08/12/2024,163.45,165.5,166.15,163.42,341.93K,-1.12%
08/09/2024,165.3,167.0,169.0,165.0,571.43K,-2.30%
08/08/2024,169.2,167.75,170.4,165.89,2.94M,1.32%
08/07/2024,167.0,172.39,172.39,166.7,1.48M,-2.70%
08/06/2024,171.63,171.0,172.5,170.01,2.80M,0.08%
08/05/2024,171.5,167.03,172.3,166.17,9.51M,2.05%
08/02/2024,168.05,167.0,169.73,167.0,433.68K,0.51%
08/01/2024,167.2,167.95,169.45,166.31,823.06K,-0.18%
07/31/2024,167.5,160.0,172.4,158.1,13.23M,0.00%
07/30/2024,167.5,170.1,171.4,166.0,1.63M,-2.05%
07/29/2024,171.0,170.5,173.0,170.3,1.44M,0.06%
07/26/2024,170.9,170.11,171.5,169.7,456.47K,0.65%
07/25/2024,169.8,171.5,172.5,169.8,2.37M,-1.52%
07/24/2024,172.42,170.0,172.9,169.05,1.92M,1.24%
07/23/2024,170.3,170.91,171.61,168.86,812.87K,-0.06%
07/22/2024,170.4,170.0,172.9,169.0,3.39M,-0.06%
07/19/2024,170.5,171.0,171.99,168.5,1.49M,-0.79%
07/18/2024,171.86,170.5,171.86,169.0,876.94K,0.82%
07/15/2024,170.47,169.15,170.68,169.05,600.44K,0.81%
07/12/2024,169.1,167.75,171.0,164.5,960.82K,0.99%
07/11/2024,167.45,168.0,168.5,167.01,307.80K,-0.20%
07/10/2024,167.79,168.3,169.35,167.49,343.92K,-0.55%
07/09/2024,168.72,167.7,169.5,167.25,927.86K,0.74%
07/08/2024,167.48,168.0,168.63,166.5,446.59K,-0.31%
07/05/2024,168.0,169.5,169.7,167.9,454.53K,-0.88%
07/04/2024,169.5,169.25,170.54,168.05,600.35K,0.18%
07/03/2024,169.2,170.5,171.7,168.2,1.37M,-0.47%
07/02/2024,170.0,170.42,172.5,169.5,1.61M,-0.44%
07/01/2024,170.75,166.5,173.29,166.0,2.78M,2.85%
06/28/2024,166.02,167.0,167.5,165.8,978.74K,-0.50%
06/27/2024,166.85,165.02,168.89,165.0,1.33M,1.18%
06/26/2024,164.9,163.0,168.1,163.0,1.40M,0.61%
06/25/2024,163.9,164.0,165.05,162.75,477.05K,-0.04%
06/24/2024,163.97,165.0,166.0,161.8,1.31M,-0.26%
06/21/2024,164.39,168.5,171.47,162.98,1.33M,-2.06%
06/20/2024,167.85,166.01,170.6,165.56,1.94M,1.48%
06/14/2024,165.4,166.0,167.2,165.0,902.25K,0.43%
06/13/2024,164.7,158.9,165.7,157.03,1.85M,4.07%
06/12/2024,158.26,156.08,158.8,156.08,1.83M,0.08%
06/11/2024,158.14,158.5,158.5,155.98,987.03K,0.57%
06/10/2024,157.25,158.62,158.62,156.8,439.91K,-1.04%
06/07/2024,158.9,157.9,159.39,154.15,3.41M,0.51%
06/06/2024,158.1,158.91,158.91,158.0,1.06M,-0.41%
06/05/2024,158.75,158.0,159.3,157.1,504.81K,0.16%
06/04/2024,158.5,158.5,159.49,157.01,980.77K,0.06%
